编号,开始答题时间,结束答题时间,答题时长,1.您所在社区目前**是否已设置**“快递包装共享回收箱”？,2.您**每月收到的快递数量**,3.**过去 30 天**您使用回收箱的次数,4.您投入的主要包装类型（可多选）:纸箱,4.您投入的主要包装类型（可多选）:塑料袋/快递袋,4.您投入的主要包装类型（可多选）:填充物,4.您投入的主要包装类型（可多选）:其他,5.您在使用回收箱时遇到的**主要障碍**（可多选）:位置不便,5.您在使用回收箱时遇到的**主要障碍**（可多选）:排队/拥堵,5.您在使用回收箱时遇到的**主要障碍**（可多选）:不清楚可回收物,5.您在使用回收箱时遇到的**主要障碍**（可多选）:无奖励,5.您在使用回收箱时遇到的**主要障碍**（可多选）:卫生差,5.您在使用回收箱时遇到的**主要障碍**（可多选）:担心信息泄露,5.您在使用回收箱时遇到的**主要障碍**（可多选）:其他,6.若将回收服务成本计入物业费，您是否接受每月物业费**相比当前增加不超过2元**？,7.您的性别,8.您的年龄,9.您的最高学历,10.您的职业,11.感知有用性:显著减少生活垃圾,11.感知有用性:提升社区形象,11.感知有用性:节省处理时间,11.感知有用性:助力双碳目标,12.感知便利性:投递步骤易懂,12.感知便利性:回收箱离家距离近,12.感知便利性:开放时间充足,13.感知风险性:担心个人信息泄露,13.感知风险性:担心箱体卫生导致虫鼠,13.感知风险性:担心未来产生额外收费,14.感知趣味性:投递过程让我心情愉快,14.感知趣味性:完成投递让我有成就感,15.信任程度:相信包装会被妥善处理,15.信任程度:相信积分/奖励可正常兑换,15.信任程度:相信平台的数据隐私保护,16.主观规范:家人朋友赞成,16.主观规范:社区干部建议,16.主观规范:邻居使用影响,16.主观规范:媒体宣传倡导,17.环境责任:环保是个人责任,17.环境责任:在意包装浪费,17.环境责任:为后代保护环境,17.环境责任:愿减少一次性用品,18.使用习惯:已形成习惯性投递,18.使用习惯:不回收会感到不自在,18.使用习惯:回收行为对我来说很自然,19.激励方案兴趣度:现金红包,19.激励方案兴趣度:积分商城,19.激励方案兴趣度:快递费减免,19.激励方案兴趣度:绿色碳积分,19.激励方案兴趣度:公益植树,19.激励方案兴趣度:社区荣誉排行,19.激励方案兴趣度:物业费折扣,19.激励方案兴趣度:抽盲盒,19.激励方案兴趣度:商家优惠券,19.激励方案兴趣度:二手盒返现,20.未来使用意向:每月持续使用,20.未来使用意向:高频使用意愿,20.未来使用意向:无奖励坚持,20.未来使用意向:社交分享,20.未来使用意向:志愿推广,21.您认为**最有效的激励方案**是什么？请简述原因。,22.其他建议或补充意见,语言,清洗数据结果,智能清洗数据无效概率,地理位置国家和地区,地理位置省,地理位置市,自定义字段,IP,UA,Referrer
190,2025/5/7  17:13:00,2025/5/7  17:27:00,860,A.是,C.7-10个,B.1-2次,,,,,A.位置不便,,C.不清楚可回收物,D.无奖励,,F.担心信息泄露,,A.是,A.男,C.26-30,B.高中/中专,C.自由职业,D.同意,E.非常同意,C.一般,E.非常同意,D.同意,D.同意,D.同意,D.同意,E.非常同意,A.非常不同意,A.非常不同意,D.同意,C.一般,C.一般,E.非常同意,B.不同意,A.非常不同意,D.同意,D.同意,B.不同意,A.非常不同意,C.一般,C.一般,C.一般,D.同意,D.同意,E.非常同意,D.同意,C.一般,E.非常同意,E.非常同意,C.一般,C.一般,C.一般,C.一般,E.非常同意,C.一般,D.同意,C.一般,C.一般,B.不同意,,,简体中文,未清洗,,中国,江苏省,苏州市,,180.104.69.187,"Mozilla/5.0 (Linux; Android 13; V2219A Build/HUAWEIV2219A; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/132.0.6747.54 MQQBrowser/6.2 TBS/065531 Mobile Safari/537.36 V1_AND_SQ_9.0.50_YYB_D QQ/9.1.60.41893 NetType/4G WebP/0.3.0 A",
189,2025/5/7  16:45:00,2025/5/7  16:51:00,326,A.是,C.7-10个,A.0次,,B.塑料袋/快递袋,,,,,,D.无奖励,E.卫生差,,,A.是,A.男,D.31-35,A.初中及以下,B.全职上班族,E.非常同意,D.同意,A.非常不同意,C.一般,C.一般,E.非常同意,D.同意,C.一般,D.同意,D.同意,D.同意,B.不同意,C.一般,D.同意,C.一般,C.一般,D.同意,E.非常同意,C.一般,D.同意,D.同意,D.同意,C.一般,C.一般,D.同意,C.一般,D.同意,C.一般,C.一般,D.同意,C.一般,D.同意,E.非常同意,D.同意,D.同意,D.同意,C.一般,E.非常同意,D.同意,D.同意,C.一般,无,,简体中文,未清洗,,中国,湖北省,武汉市,,111.174.216.158,"Mozilla/5.0 (iPad; CPU OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.50(0x5769) NetType/5G Language/zh_CN",
188,2025/5/7  19:16:00,2025/5/7  19:28:00,736,A.是,C.7-10个,A.0次,A.纸箱,B.塑料袋/快递袋,,,,,C.不清楚可回收物,,,,,A.是,A.男,C.26-30,D.本科,B.全职上班族,C.一般,C.一般,D.同意,C.一般,D.同意,C.一般,C.一般,C.一般,E.非常同意,D.同意,D.同意,C.一般,A.非常不同意,D.同意,D.同意,C.一般,C.一般,D.同意,E.非常同意,D.同意,E.非常同意,C.一般,C.一般,C.一般,D.同意,D.同意,C.一般,C.一般,B.不同意,C.一般,C.一般,C.一般,C.一般,C.一般,C.一般,D.同意,D.同意,A.非常不同意,D.同意,E.非常同意,E.非常同意,没有,物业人员说箱体运营方只来收一次，导致堆满；签订服务合同时应明确清运频次。,简体中文,未清洗,,中国,江苏省,南京市,,180.97.213.50,"Mozilla/5.0 (Linux; Android 12; M2012K11C Build/HUAWEISM?G9960; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/132.0.6747.24 MQQBrowser/6.2 TBS/087403 Mobile Safari/537.36 V1_AND_SQ_9.0.50_YYB_D QQ/9.1.60.20784 NetType/4G WebP/0.3.0 A",
187,2025/5/7  22:41:00,2025/5/7  22:54:00,763,B.否,C.7-10个,,,,,,,,,,,,,A.是,B.女,A.15-20,D.本科,A.学生,C.一般,A.非常不同意,D.同意,C.一般,C.一般,C.一般,C.一般,C.一般,C.一般,C.一般,E.非常同意,D.同意,E.非常同意,D.同意,E.非常同意,D.同意,B.不同意,D.同意,D.同意,D.同意,D.同意,E.非常同意,C.一般,E.非常同意,B.不同意,D.同意,D.同意,D.同意,C.一般,B.不同意,C.一般,E.非常同意,D.同意,C.一般,C.一般,C.一般,D.同意,D.同意,D.同意,C.一般,C.一般,无,,简体中文,未清洗,,中国,浙江省,宁波市,,115.238.52.155,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 QQ/9.1.60 V1_IPH_SQ_9.1.60_0_APP_A Pixel/1170",
186,2025/5/8  04:02:00,2025/5/8  04:05:00,149,A.是,A.1-3个,D.6-10次,,,,,A.位置不便,,,,,,,A.是,B.女,A.15-20,C.大专,A.学生,C.一般,C.一般,D.同意,A.非常不同意,E.非常同意,E.非常同意,E.非常同意,D.同意,D.同意,D.同意,D.同意,C.一般,C.一般,C.一般,A.非常不同意,D.同意,A.非常不同意,C.一般,E.非常同意,C.一般,E.非常同意,A.非常不同意,C.一般,C.一般,C.一般,E.非常同意,C.一般,C.一般,D.同意,D.同意,A.非常不同意,D.同意,D.同意,C.一般,D.同意,D.同意,C.一般,D.同意,C.一般,C.一般,D.同意,学校可换志愿服务时长，大学生需要学分或证明。,没有,简体中文,未清洗,,中国,山东省,青岛市,,60.208.21.141,"Mozilla/5.0 (Linux; Android 15; V2219A Build/UKQ1.231108.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/131.0.6668.89 Mobile Safari/537.36 XWEB/1537008 MMWEBSDK/20240527 MMWEBID/1668 MicroMessenger/8.0.50.2800(0x280083E1) WeChat/arm64",
185,2025/5/8  00:46:00,2025/5/8  00:59:00,772,A.是,B.4-6个,A.0次,A.纸箱,B.塑料袋/快递袋,,,A.位置不便,,C.不清楚可回收物,D.无奖励,E.卫生差,F.担心信息泄露,,A.是,A.男,B.21-25,C.大专,B.全职上班族,C.一般,C.一般,C.一般,A.非常不同意,C.一般,E.非常同意,D.同意,E.非常同意,C.一般,D.同意,E.非常同意,C.一般,D.同意,C.一般,D.同意,C.一般,E.非常同意,C.一般,E.非常同意,C.一般,E.非常同意,E.非常同意,C.一般,D.同意,D.同意,E.非常同意,E.非常同意,D.同意,C.一般,B.不同意,A.非常不同意,C.一般,D.同意,D.同意,B.不同意,D.同意,E.非常同意,D.同意,D.同意,E.非常同意,D.同意,无,没有,简体中文,未清洗,,中国,江苏省,南京市,,180.97.94.97,"Mozilla/5.0 (Linux; Android 12; RMX3841 Build/UKQ1.231108.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/132.0.6747.135 Mobile Safari/537.36 XWEB/1519725 MMWEBSDK/20250520 MMWEBID/1745 MicroMessenger/8.0.50.2800(0x28008AF8) WeChat/arm64",
184,2025/5/7  16:31:00,2025/5/7  16:44:00,793,B.否,C.7-10个,,,,,,,,,,,,,A.是,A.男,D.31-35,D.本科,B.全职上班族,D.同意,C.一般,E.非常同意,C.一般,D.同意,C.一般,E.非常同意,C.一般,D.同意,C.一般,C.一般,D.同意,D.同意,C.一般,E.非常同意,C.一般,E.非常同意,D.同意,C.一般,D.同意,C.一般,C.一般,C.一般,C.一般,E.非常同意,D.同意,C.一般,E.非常同意,C.一般,E.非常同意,B.不同意,C.一般,E.非常同意,D.同意,D.同意,C.一般,D.同意,D.同意,B.不同意,C.一般,D.同意,按重量返现到微信零钱包，简单粗暴最能打动人。,我在其他城市用过“智能称重返现”机器，觉得更直观，这里的箱体太落后了。,简体中文,未清洗,,中国,北京市,北京市,,36.112.166.104,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 QQ/9.0.50 V1_IPH_SQ_9.0.50_0_APP_A Pixel/1170",
183,2025/5/7  18:18:00,2025/5/7  18:22:00,268,A.是,A.1-3个,B.1-2次,A.纸箱,,,,A.位置不便,,C.不清楚可回收物,,E.卫生差,,,C.视服务质量而定,A.男,D.31-35,C.大专,C.自由职业,C.一般,D.同意,E.非常同意,C.一般,C.一般,C.一般,B.不同意,C.一般,C.一般,D.同意,D.同意,B.不同意,C.一般,B.不同意,E.非常同意,D.同意,E.非常同意,E.非常同意,E.非常同意,E.非常同意,D.同意,D.同意,C.一般,E.非常同意,B.不同意,D.同意,D.同意,B.不同意,D.同意,D.同意,C.一般,C.一般,A.非常不同意,C.一般,A.非常不同意,D.同意,C.一般,C.一般,E.非常同意,B.不同意,D.同意,无,没有,简体中文,未清洗,,中国,山东省,济南市,,139.9.82.127,"Mozilla/5.0 (iPad; CPU OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.52(0x32AA) NetType/5G Language/zh_CN",
182,2025/5/7  05:46:00,2025/5/7  05:51:00,342,A.是,B.4-6个,A.0次,,B.塑料袋/快递袋,,,,,C.不清楚可回收物,,,,,A.是,B.女,C.26-30,B.高中/中专,B.全职上班族,D.同意,D.同意,B.不同意,D.同意,E.非常同意,C.一般,C.一般,C.一般,B.不同意,C.一般,C.一般,E.非常同意,E.非常同意,D.同意,C.一般,E.非常同意,C.一般,C.一般,E.非常同意,D.同意,C.一般,C.一般,D.同意,E.非常同意,E.非常同意,D.同意,E.非常同意,D.同意,A.非常不同意,A.非常不同意,E.非常同意,C.一般,E.非常同意,D.同意,E.非常同意,B.不同意,C.一般,D.同意,E.非常同意,D.同意,D.同意,每周公布社区排名并给前三楼栋挂流动红旗，荣誉感驱动比钱更持久。,没有,简体中文,未清洗,,中国,江苏省,苏州市,,180.104.253.227,"Mozilla/5.0 (Linux; Android 15; M2012K11C Build/HUAWEIM2012K11C; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/132.0.6747.165 MQQBrowser/6.2 TBS/046277 Mobile Safari/537.36 V1_AND_SQ_9.1.60_YYB_D QQ/9.1.60.55558 NetType/4G WebP/0.3.0 A",
181,2025/5/7  16:51:00,2025/5/7  17:01:00,641,A.是,C.7-10个,A.0次,,B.塑料袋/快递袋,,D.其他,A.位置不便,,C.不清楚可回收物,,,,G.其他,A.是,B.女,D.31-35,C.大专,C.自由职业,C.一般,C.一般,C.一般,C.一般,C.一般,C.一般,B.不同意,C.一般,C.一般,D.同意,C.一般,C.一般,C.一般,C.一般,C.一般,D.同意,C.一般,C.一般,C.一般,C.一般,E.非常同意,E.非常同意,C.一般,E.非常同意,C.一般,C.一般,C.一般,E.非常同意,E.非常同意,C.一般,D.同意,D.同意,C.一般,D.同意,C.一般,C.一般,E.非常同意,C.一般,B.不同意,E.非常同意,E.非常同意,,,简体中文,未清洗,,中国,上海市,上海市,,101.226.29.71,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",
180,2025/5/7  03:06:00,2025/5/7  03:11:00,301,A.是,A.1-3个,D.6-10次,A.纸箱,B.塑料袋/快递袋,,,A.位置不便,B.排队/拥堵,C.不清楚可回收物,D.无奖励,E.卫生差,F.担心信息泄露,,A.是,A.男,D.31-35,F.博士,C.自由职业,C.一般,C.一般,D.同意,D.同意,C.一般,A.非常不同意,C.一般,D.同意,D.同意,B.不同意,E.非常同意,D.同意,C.一般,C.一般,A.非常不同意,D.同意,C.一般,C.一般,B.不同意,D.同意,C.一般,E.非常同意,C.一般,C.一般,D.同意,D.同意,D.同意,C.一般,D.同意,C.一般,E.非常同意,A.非常不同意,C.一般,D.同意,C.一般,D.同意,D.同意,D.同意,C.一般,C.一般,C.一般,没有,没有,简体中文,未清洗,,中国,广东省,广州市,,14.215.228.36,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",
